full.filename.txt,ObjectID,Name,COUNTRY,YEAR,EVENTTYPE,INTERNALEVENTNUM,SOURCE,TRANSLATOR,PUBLISHER,PUBLISHER_LOCATION,COPYRIGHT,no.text,not.in.chronology,duplicated,language,not.available.in.english,filename,size
Canada_1987EnglishPrivate_179.txt,179,1987 Amendment to Canada's Constitution of 1867,Canada,1987,amendment,2090,Constitutions of the Countries of the World,Not Specified,"Oceana Publications, Inc.",Dobbs Ferry,1991,FALSE,FALSE,FALSE,English,FALSE,C:/Users/Marquez family/Dropbox/Downloading Constitutions/ccp/Canada_1987EnglishPrivate_179.txt,14966
Canada_1993EnglishPrivate_180.txt,180,Canada's Constitution of 1867 with Amendments through 1993,Canada,1993,amendment,1345,Political Database of the Americas,Not Specified,Georgetown University,"Washington, D.C.",2006,FALSE,FALSE,FALSE,English,FALSE,C:/Users/Marquez family/Dropbox/Downloading Constitutions/ccp/Canada_1993EnglishPrivate_180.txt,31100
Canada_1997EnglishPrivate_181.txt,181,1997 Amendment to Canada's Constitution of 1867,Canada,1997,amendment,1346,"Solon Law Archive, The",Not Specified,William F. Maton,Not Specified,2004,FALSE,FALSE,FALSE,English,FALSE,C:/Users/Marquez family/Dropbox/Downloading Constitutions/ccp/Canada_1997EnglishPrivate_181.txt,5594
Canada_1998EnglishPrivate_9612.txt,9612,1998 Amendment to Canada's Constitution of 1867,Canada,1998,amendment,3498,Constitutions of the World 1776 to Present,Not Applicable,K.G. Saur Verlag,Munchen,2002-2007,FALSE,FALSE,FALSE,English,FALSE,C:/Users/Marquez family/Dropbox/Downloading Constitutions/ccp/Canada_1998EnglishPrivate_9612.txt,146780
Canada_1999_10559.txt,10559,Canada's Constitution of 1867 with Amendments through 1999 ,Canada,1999,amendment,187,http://laws.justice.gc.ca/en/const/index.html,Not Specified,CANADIAN DEPARTMENT OF JUSTICE,Ottawa,2009,FALSE,FALSE,TRUE,English,FALSE,C:/Users/Marquez family/Dropbox/Downloading Constitutions/ccp/Canada_1999_10559.txt,136070
Canada_1999EnglishPrivate_182.txt,182,Canada's Constitution of 1867 with Amendments through 1999,Canada,1999,amendment,187,Constitutions of the Countries of the World,Unofficial,"Oxford University Press, Inc.",New York,2006,FALSE,FALSE,TRUE,English,FALSE,C:/Users/Marquez family/Dropbox/Downloading Constitutions/ccp/Canada_1999EnglishPrivate_182.txt,191058
Canada_2001EnglishPrivate_183.txt,183,2001 Amendment to Canada's Constitution of 1867,Canada,2001,amendment,2091,"Solon Law Archive, The",Not Specified,William F. Maton,Not Specified,2004,FALSE,FALSE,FALSE,English,FALSE,C:/Users/Marquez family/Dropbox/Downloading Constitutions/ccp/Canada_2001EnglishPrivate_183.txt,3167
Canada_2011EnglishPrivate_11941.txt,11941,Canada's Constitution of 1867 with Amendments through 2011,Canada,2011,amendment,3933,"HeinOnline - Department of Justice, Canada",Not Applicable,"William S. Hein & Co., Inc.",Buffalo,2013,FALSE,TRUE,FALSE,English,FALSE,C:/Users/Marquez family/Dropbox/Downloading Constitutions/ccp/Canada_2011EnglishPrivate_11941.txt,237366
CapeVerde_1980EnglishPrivate_184.txt,184,Cape Verde's Constitution of 1980,Cape Verde,1980,new,1347,Constitutions of the Countries of the World,Not Specified,"Oceana Publications, Inc.",Dobbs Ferry,1983,FALSE,FALSE,FALSE,English,FALSE,C:/Users/Marquez family/Dropbox/Downloading Constitutions/ccp/CapeVerde_1980EnglishPrivate_184.txt,77438
CapeVerde_1992EnglishPrivate_185.txt,185,Cape Verde's Constitution of 1980 with Amendments through 1992,Cape Verde,1992,amendment,188,Constitutions of the Countries of the World,"Campbell, Sarah and Marcia W. Coward","Oceana Publications, Inc.",Dobbs Ferry,2006,FALSE,FALSE,FALSE,English,FALSE,C:/Users/Marquez family/Dropbox/Downloading Constitutions/ccp/CapeVerde_1992EnglishPrivate_185.txt,195560
CapeVerde_1999PortuguesePrivate_10793.txt,10793,Cape Verde's Constitution of 1980 with Amendments through 1999,Cape Verde,1999,amendment,1878,HeinOnline,Not Specified,"William S. Hein & Co., Inc.",Buffalo,2010,FALSE,FALSE,FALSE,Portuguese,TRUE,C:/Users/Marquez family/Dropbox/Downloading Constitutions/ccp/CapeVerde_1999PortuguesePrivate_10793.txt,252901
CapeVerde_2010PortuguesePrivate_11186.txt,11186,Cape Verde's Constitution of 1980 with Amendments through 2010,Cape Verde,2010,amendment,NA,http://www.wipo.int/wipolex/en/text.jsp?file_id=181070,Not Specified,World Intellectual Property Organization,Geneva,2010,FALSE,TRUE,NA,Portuguese,TRUE,C:/Users/Marquez family/Dropbox/Downloading Constitutions/ccp/CapeVerde_2010PortuguesePrivate_11186.txt,324516
CentralAfricanRepublic_1962EnglishPrivate_186.txt,186,Central African Republic's Constitution of 1959 with Amendments through 1962,Central African Republic,1962,amendment,192,Constitutions of Nations,"Dougall, L. P.",Martinus Nijhoff,The Hague,1965,FALSE,FALSE,FALSE,English,FALSE,C:/Users/Marquez family/Dropbox/Downloading Constitutions/ccp/CentralAfricanRepublic_1962EnglishPrivate_186.txt,26471
CentralAfricanRepublic_1964FrenchPrivate_2282.txt,2282,Central African Republic's Constitution of 1964,Central African Republic,1964,new,2096,Revue Juridique et Politique,Not Specified,Librairie Generale de Droit et de Jurisprudence,Paris,1965,FALSE,FALSE,FALSE,French,TRUE,C:/Users/Marquez family/Dropbox/Downloading Constitutions/ccp/CentralAfricanRepublic_1964FrenchPrivate_2282.txt,35214
CentralAfricanRepublic_1976FrenchPrivate_2283.txt,2283,Central African Republic's Constitution of 1976,Central African Republic,1976,new,1348,Penant: revue de droit des pays d'Afrique,Not Specified,Not Specified,Not Specified,Not Specified,FALSE,FALSE,FALSE,French,TRUE,C:/Users/Marquez family/Dropbox/Downloading Constitutions/ccp/CentralAfricanRepublic_1976FrenchPrivate_2283.txt,32963
CentralAfricanRepublic_1979FrenchPrivate_11568.txt,11568,Central African Republic's Constitution of 1979,Central African Republic,1979,interim,2098,HeinOnline - Journal Officiel,Not Applicable,"William S. Hein & Co., Inc.",Buffalo,2012,FALSE,FALSE,FALSE,French,TRUE,C:/Users/Marquez family/Dropbox/Downloading Constitutions/ccp/CentralAfricanRepublic_1979FrenchPrivate_11568.txt,24534
CentralAfricanRepublic_1981EnglishPrivate_187.txt,187,Central African Republic's Constitution of 1981,Central African Republic,1981,new,1349,Constitutions of the Countries of the World,"Campbell, Sarah J.","Oceana Publications, Inc.",Dobbs Ferry,1981,FALSE,FALSE,FALSE,English,FALSE,C:/Users/Marquez family/Dropbox/Downloading Constitutions/ccp/CentralAfricanRepublic_1981EnglishPrivate_187.txt,69180
CentralAfricanRepublic_1994EnglishPrivate_7758.txt,7758,Central African Republic's Constitution of 1994,Central African Republic,1994,new,193,Constitutions of the Countries of the World,"Anna, Daniel G.","Oceana Publications, Inc.",Dobbs Ferry,Not Specified,FALSE,FALSE,FALSE,English,FALSE,C:/Users/Marquez family/Dropbox/Downloading Constitutions/ccp/CentralAfricanRepublic_1994EnglishPrivate_7758.txt,56183
CentralAfricanRepublic_2003FrenchPrivate_2284.txt,2284,2003 Suspension of the Constitution,Central African Republic,2003,suspension,2099,Droit francophone,Not Specified,Organisation internationale de la francophonie,Paris,2007,FALSE,FALSE,FALSE,French,TRUE,C:/Users/Marquez family/Dropbox/Downloading Constitutions/ccp/CentralAfricanRepublic_2003FrenchPrivate_2284.txt,9611
CentralAfricanRepublic_2004EnglishPrivate_188.txt,188,Central African Republic's Constitution of 2004,Central African Republic,2004,new,1889,Constitutions of the Countries of the World,Max Planck Institute,"Oceana Publications, Inc.",Dobbs Ferry,2006,FALSE,FALSE,FALSE,English,FALSE,C:/Users/Marquez family/Dropbox/Downloading Constitutions/ccp/CentralAfricanRepublic_2004EnglishPrivate_188.txt,68213
CentralAfricanRepublic_2010EnglishPrivate_11942.txt,11942,Central African Republic's Constitution of 2004 with Amendments through 2010,Central African Republic,2010,amendment,3934,"HeinOnline, World Constitutions Illustrated","Ruchti, Jefri J.","William S. Hein & Co., Inc.",Buffalo,2012,FALSE,TRUE,TRUE,English,FALSE,C:/Users/Marquez family/Dropbox/Downloading Constitutions/ccp/CentralAfricanRepublic_2010EnglishPrivate_11942.txt,83877
CentralAfricanRepublic_2010EnglishPrivate_12028.txt,12028,2010 Amendment to Central African Republic's Constitution of 2004,Central African Republic,2010,amendment,3934,"HeinOnline, World Constitutions Illustrated","Ruchti, Jefri J.","William S. Hein & Co., Inc.",Buffalo,2011,FALSE,TRUE,TRUE,English,FALSE,C:/Users/Marquez family/Dropbox/Downloading Constitutions/ccp/CentralAfricanRepublic_2010EnglishPrivate_12028.txt,7685
Chad_1960_11281.txt,11281,Chad's Constitution of 1960 ,Chad,1960,new,195,Revue Juridique et Politique,"de Albuquerque, Fred",Librairie Generale de Droit et de Jurisprudence,Paris,2011,FALSE,FALSE,TRUE,English,FALSE,C:/Users/Marquez family/Dropbox/Downloading Constitutions/ccp/Chad_1960_11281.txt,35281
Chad_1960FrenchPrivate_2285.txt,2285,Chad's Constitution of 1960,Chad,1960,new,195,Revue Juridique et Politique,Not Specified,Librairie Generale de Droit et de Jurisprudence,Paris,Not Specified,FALSE,FALSE,TRUE,French,FALSE,C:/Users/Marquez family/Dropbox/Downloading Constitutions/ccp/Chad_1960FrenchPrivate_2285.txt,61168
